,SKU,ITEMNAME,ITEMTYPE,VINTAGE,PRICEPERUNIT,TOTALQTY,CATID,DEPID,PACKID,SIZEID,NONTAXABLE,TAX1,NONACTIVE,ITEMLEVEL,CONTROLSKU,KEYWORD
0,50001,MISC. BASKET ITEMS,0,,1.99,-18,432,46,,,0,1,0,0,,MISC. BASKET ITEMS
1,50003,VINTURI WINE AERATOR TOWER,0,,29.99,6,429,46,,,0,1,0,0,,VINTURI WINE AERATOR TOWER
2,50004,MICHAEL PETERS,0,,453.99,0,432,46,,,0,1,1,0,,MICHAEL PETERS
3,50005,WINE MAP OF ITALY,0,,20.0,2,429,46,,,0,1,0,0,,WINE MAP OF ITALY
4,50009,VINTURI AERATOR/TOWER SET RED ,0,,54.99,0,429,46,,,0,1,0,0,,VINTURI AERATOR/TOWER SET RED 
5,50031,LONG TRAIL BLACK BRY WHEAT CAN,6,,32.99,0,607,21,8,,0,1,0,0,70178,LONG TRAIL BLACK BRY WHEAT CAN 24-PACK
6,50044,XY ZINFANDEL,0,,13.99,0,317,30,,7,0,1,0,0,,XY ZINFANDEL 750 ML
7,50046,ALLAN SCOTT PINOT NOIR 2010,0,,17.99,0,395,38,,7,0,1,1,0,,ALLAN SCOTT PINOT NOIR 2010 750 ML
8,50054,LOCKHART CABERNET ,0,2015,8.99,16,314,30,,7,0,1,0,0,,LOCKHART CABERNET  750 ML 2015
9,50063,SHAFER ONE POINT FIVE CAB 2012,0,,107.99,2,314,30,,7,0,1,0,0,,SHAFER ONE POINT FIVE CAB 2012 750 ML
10,50068,BROTHERS RIDGE CABERNET,0,,89.99,5,314,30,,7,0,1,0,0,,BROTHERS RIDGE CABERNET 750 ML
11,50075,LOIMER RIESLING LENZ???,0,,14.99,0,654,63,,7,0,1,0,0,,LOIMER RIESLING LENZ??? 750 ML
12,50110,BOB'S PINOTAGE 2013,0,,7.99,0,555,39,,7,0,1,0,0,,BOB'S PINOTAGE 2013 750 ML
13,50128,ROCHIOLI SAUV BLANC 2010,0,,34.99,9,324,30,,7,0,1,0,0,,ROCHIOLI SAUV BLANC 2010 750 ML
14,50172,ANDRETTI CHARDONNAY ,0,,11.99,0,320,30,,7,0,1,0,0,,ANDRETTI CHARDONNAY  750 ML
15,50173,THOMAS HENRY SONOMA CHARDONNAY,0,,9.99,10,320,30,,7,0,1,1,0,,THOMAS HENRY SONOMA CHARDONNAY 750 ML
16,50188,VOO DOO TIKI ANEJO ,0,,54.99,0,547,25,,7,0,1,0,0,,VOO DOO TIKI ANEJO  750 ML
17,50215,BEACH KITE SAUV BLANC 2014,0,,5.99,0,590,58,,7,0,1,1,0,,BEACH KITE SAUV BLANC 2014 750 ML
18,50217,BEACH KITE PINOT NOIR 2014,0,,5.99,0,593,58,,7,0,1,1,0,,BEACH KITE PINOT NOIR 2014 750 ML
19,50218,CLOS BLANCHEAU CHARDONNAY,0,,22.99,0,320,30,,7,0,1,0,0,,CLOS BLANCHEAU CHARDONNAY 750 ML
20,50228,IVANABITCH TOBACCO VODKA,0,,11.99,1,289,26,,7,0,1,0,0,,IVANABITCH TOBACCO VODKA 750 ML
21,50234,STOLICHNAYA SALTED KARAMEL,0,,26.99,4,290,26,,7,0,1,0,0,,STOLICHNAYA SALTED KARAMEL 750 ML
22,50235,IVANABITCH DUTCH APPLE VODKA,0,,11.99,3,290,26,,7,0,1,0,0,,IVANABITCH DUTCH APPLE VODKA 750 ML
23,50267,DAVIS FAMILY RR CHARDONNAY,0,,34.99,0,320,30,,7,0,1,0,0,,DAVIS FAMILY RR CHARDONNAY 750 ML
24,50320,GATINOIS BRUT TRADITION,0,,34.99,0,297,28,,7,0,1,0,0,,GATINOIS BRUT TRADITION 750 ML RP90
25,50328,BAREFOOT BUBBLY EXTRA DRY,0,,12.99,34,296,28,,7,0,1,0,0,,BAREFOOT BUBBLY EXTRA DRY 750 ML
26,50330,CAMPOS REALES TEMPRANILLO ,0,,6.99,0,376,34,,7,0,1,0,0,,CAMPOS REALES TEMPRANILLO  750 ML
27,50331,JIM BEAM DISTILLERS MASTER ,0,,249.99,4,262,18,,7,0,1,0,0,,JIM BEAM DISTILLERS MASTER  750 ML
28,50337,BOB'S CHENIN BLANC 2014,0,,7.99,0,555,39,,7,0,1,0,0,,BOB'S CHENIN BLANC 2014 750 ML
29,50339,DOUBLE DECKER RED 2010,0,,9.99,0,319,30,,7,0,1,0,0,,DOUBLE DECKER RED 2010 750 ML
30,50341,TORRES ALTOS IBERICOS 2011,0,,11.99,0,376,34,,7,0,1,0,0,,TORRES ALTOS IBERICOS 2011 750 ML
31,50343,3 BALL ZINFADEL 2012,0,,12.99,0,317,30,,7,0,1,1,0,,3 BALL ZINFADEL 2012 750 ML
32,50350,BUD LIGHT LIME 30PK,0,,29.99,10,538,21,9,,0,1,0,0,,BUD LIGHT LIME 30PK 30-PACK
33,50367,H D V BELLE COUSINE,0,,59.99,0,314,30,,7,0,1,0,0,,H D V BELLE COUSINE 750 ML
34,50371,FAT BASTARD SYRAH ,0,,8.99,19,347,31,,7,0,1,0,0,,FAT BASTARD SYRAH  750 ML
35,50409,CHAPOUT BELLE CDR ROSE,0,,16.99,42,351,31,,7,0,1,0,0,,CHAPOUT BELLE CDR ROSE 750 ML
36,50474,CASTELLO MONACI PRIMITIVO,0,2015,11.99,24,576,32,,7,0,1,0,0,,CASTELLO MONACI PRIMITIVO 750 ML 2015
37,50514,SERAFIJN CHRISTMAS ALE 750ML,0,,11.49,1,277,21,,7,0,1,0,0,,SERAFIJN CHRISTMAS ALE 750ML 750 ML
38,50522,WEYERBACHER BLITHER IDIOT 4PK ,6,,59.99,0,607,21,8,,0,1,0,0,100440,WEYERBACHER BLITHER IDIOT 4PK  24-PACK
39,50545,MIKES HARD POMEGRANITE,6,,28.99,-1,649,21,8,15,0,1,0,0,100047,MIKES HARD POMEGRANITE 12 OZ 24-PACK
40,50563,SEBASTIANI ALEXANDER CAB SAUV,0,,27.99,0,314,30,,7,0,1,0,0,,SEBASTIANI ALEXANDER CAB SAUV 750 ML
41,50571,CONTRASTE CONCIETO PORT 2007,0,,69.99,7,586,37,,7,0,1,0,0,,CONTRASTE CONCIETO PORT 2007 750 ML
42,50579,KULETO ESTATE NATIVE SON  2012,0,,21.99,10,319,30,,7,0,1,0,0,,KULETO ESTATE NATIVE SON  2012 750 ML
43,50580,PINK PEGAU 2013,0,,19.99,0,351,31,,7,0,1,0,0,,PINK PEGAU 2013 750 ML
44,50582,HAZANA VINAS VIEJAS RIOJA '15,0,2015,11.99,0,376,34,,7,0,1,0,0,,HAZANA VINAS VIEJAS RIOJA '15 750 ML 2015
45,50584,GAUJAL DE SAINT BON PICPOUL 13,0,,9.99,6,347,31,,7,0,1,0,0,,GAUJAL DE SAINT BON PICPOUL 13 750 ML
