SKU,ITEMNAME,ITEMTYPE,VINTAGE,PRICEPERUNIT,TOTALQTY,CATID,DEPID,PACKID,SIZEID,NONTAXABLE,TAX1,NONACTIVE,ITEMLEVEL,CONTROLSKU,KEYWORD
58262,TABERNERO BORGONA DEMI SEC,0,,8.99,5,411,41,,7,0,1,0,0,,TABERNERO BORGONA DEMI SEC 750 ML
58263,SANGRE DE VIDA ANEJO ,0,,52.99,0,547,25,,7,0,1,0,0,,SANGRE DE VIDA ANEJO  750 ML
58264,ELLICOTTVILLE BOMB 6/4PK CASE,6,,3.99,0,607,21,1,,0,1,0,2,90220,ELLICOTTVILLE BOMB 6/4PK CASE SINGLE
58265,SARANAC SUMMER PILS 6PK CASE,6,,29.99,-1,607,21,8,,0,1,0,0,78265,SARANAC SUMMER PILS 6PK CASE 24-PACK
58266,SARANAC SUMMER PILS 6PK CASE,6,,7.99,0,607,21,3,,0,1,0,1,78265,SARANAC SUMMER PILS 6PK CASE 6-PACK
58267,SHOCKTOP RASPBERRY 12OZ CASE,6,,2,0,607,21,1,15,0,1,0,2,81406,SHOCKTOP RASPBERRY 12OZ CASE 12 OZ SINGLE
58268,BECKS SAPPHIRE 12OZ NR SINGLE,6,,1.99,0,536,21,1,15,0,1,0,2,83941,BECKS SAPPHIRE 12OZ NR SINGLE 12 OZ SINGLE
58269,ESTRELLA DAURA DAMM,6,,36.99,3,607,21,8,15,0,1,0,0,70472,ESTRELLA DAURA DAMM 12 OZ 24-PACK
58279,WINE TREES WINE BAG,0,,1.99,1,429,46,,,0,1,0,0,,WINE TREES WINE BAG
58283,LOCATIONS P4,0,,19.99,0,391,37,,7,0,1,0,0,,LOCATIONS P4 750 ML
58284,DEL BORGO CAOS 750ML,0,,24.99,0,610,21,,7,0,1,0,0,,DEL BORGO CAOS 750ML 750 ML
58285,ASSORTED BEER GLASSES,0,,4.99,0,425,44,,,0,1,0,0,,ASSORTED BEER GLASSES
58288,STRUISSE TSJEESES  11.2OZ,0,,8.99,8,433,21,,,0,1,0,0,,STRUISSE TSJEESES  11.2OZ
58293,DOM AUVIGUE MACON SOLUTRE ??,0,,12.99,0,343,31,,7,0,1,0,0,,DOM AUVIGUE MACON SOLUTRE ?? 750 ML
58294,DEMRI LAYNE RIESLING 2013 ,0,,11.99,14,335,59,,7,0,1,0,0,,DEMRI LAYNE RIESLING 2013  750 ML
58295,UNIBROUE DIABOLIC PLEASURE GFT,0,,16.99,-2,612,21,,,0,1,0,0,,UNIBROUE DIABOLIC PLEASURE GFT
58299,OMMEGANG SHADOW BREWER 750ML,0,,14.99,-1,607,21,,7,0,1,0,0,,OMMEGANG SHADOW BREWER 750ML 750 ML
58301,ALESMITH SPEEDWAY STOUT 750 ,0,,11.99,0,607,21,,7,0,1,0,0,,ALESMITH SPEEDWAY STOUT 750  750 ML
58302,OLD TANKARD ALE 4PK CAN CASE,6,,38.99,0,538,21,8,,0,1,0,0,78302,OLD TANKARD ALE 4PK CAN CASE 24-PACK
58303,OLD TANKARD ALE 4PK CAN ,6,,6.99,-2,538,21,2,,0,1,0,1,78302,OLD TANKARD ALE 4PK CAN  4-PACK
58305,WOODLANDS CHARDONNAY 2013,0,,26.99,3,372,33,,7,0,1,0,0,,WOODLANDS CHARDONNAY 2013 750 ML
58306,RIVERTOWNE SASSAMANASH CASE,6,,33.99,0,607,21,8,,0,1,0,0,78306,RIVERTOWNE SASSAMANASH CASE 24-PACK
58307,RIVERTOWNE SASSAMANASH 6PK,6,,8.99,2,607,21,3,,0,1,0,1,78306,RIVERTOWNE SASSAMANASH 6PK 6-PACK
58308,OLD NEW ENGLAND PUMPKIN SPICE,0,,7.99,11,285,24,,7,0,1,0,0,,OLD NEW ENGLAND PUMPKIN SPICE 750 ML
58310,FLORIS FRAMBOISE CASE,6,,102.99,0,433,21,8,,0,1,0,0,78310,FLORIS FRAMBOISE CASE 24-PACK
58311,FLORIS FRAMBOISE SINGLE,6,,4.49,-2,433,21,1,,0,1,0,2,78310,FLORIS FRAMBOISE SINGLE SINGLE
58312,SAM ADAMS CINDER BOCK 22OZ,0,,6.99,9,538,21,,20,0,1,0,0,,SAM ADAMS CINDER BOCK 22OZ 22 OZ
58314,FORGOTTEN BOARDWALK MORRO SNG,6,,2.5,0,607,21,1,,0,1,0,2,83343,FORGOTTEN BOARDWALK MORRO SNG SINGLE
58320,HENRYS GRAPE 8OZ CANS SNG,6,,1.5,0,538,21,1,28,0,1,0,2,91034,HENRYS GRAPE 8OZ CANS SNG 8 OZ SINGLE
58322,FICKLIN TINTA MADERA PORT,0,,19.99,4,326,30,,7,0,1,0,0,,FICKLIN TINTA MADERA PORT 750 ML
58327,FEE BROS GIN BARREL  ORANGE,0,,12.99,19,422,43,,,0,1,0,0,,FEE BROS GIN BARREL  ORANGE
58330,B NEKTAR CHERRY CHIPOTLE 375,0,,13.99,1,617,21,,5,0,1,0,0,,B NEKTAR CHERRY CHIPOTLE 375 375 ML
58331,BALLAST POINT FUGU VODKA ,0,,19.99,0,289,26,,7,0,1,0,0,,BALLAST POINT FUGU VODKA  750 ML
58332,CIDERBOYS VARIETY PACK CASE,6,,40.99,3,613,21,8,,0,1,0,0,78332,CIDERBOYS VARIETY PACK CASE 24-PACK
58340,CECI PEACH CHARDONNAY ,0,,12.99,9,640,61,,7,0,1,0,0,,CECI PEACH CHARDONNAY  750 ML
58341,TWO ROADS BOG WILD 750ML,0,,12.99,-10,607,21,,7,0,1,0,0,,TWO ROADS BOG WILD 750ML 750 ML
58342,OMMEGANG GRAINS OF TRUTH CASE,6,,55.99,0,607,21,8,,0,1,0,0,78342,OMMEGANG GRAINS OF TRUTH CASE 24-PACK
58343,OMMEGANG GRAINS OF TRUTH 4PK,6,,9.99,-2,607,21,2,,0,1,0,1,78342,OMMEGANG GRAINS OF TRUTH 4PK 4-PACK
58347,HEAVY SEAS CROSS BONES IPA CS,6,,37.99,0,607,21,8,,0,1,0,0,78347,HEAVY SEAS CROSS BONES IPA CS 24-PACK
58348,HEAVY SEAS CROSS BONES IPA CS,6,,9.99,0,607,21,3,,0,1,0,1,78347,HEAVY SEAS CROSS BONES IPA CS 6-PACK
58349,BALLAST POINT SCULPIN VAR CASE,6,,51.99,3,607,21,8,,0,1,0,0,78349,BALLAST POINT SCULPIN VAR CASE 24-PACK
58350,BALLAST POINT SCULPIN VAR 12PK,6,,27.99,0,607,21,6,,0,1,0,1,78349,BALLAST POINT SCULPIN VAR 12PK 12-PACK
58351,DUPONT FORET BLANCHE 12OZ,0,,5.99,9,433,21,,15,0,1,0,0,,DUPONT FORET BLANCHE 12OZ 12 OZ
58352,WINTER WISHES GIFT BAG,0,,1.99,30,429,46,,,0,1,0,0,,WINTER WISHES GIFT BAG
58353,FOUNDERS LIZARD OF KOZ 750ML,0,,16.99,-1,607,21,,7,0,1,0,0,,FOUNDERS LIZARD OF KOZ 750ML 750 ML
58354,SILVER SEAL 20YR SPEYSIDE,0,,104.99,7,149,10,,7,0,1,0,0,,SILVER SEAL 20YR SPEYSIDE 750 ML
58356,BRUERY QUAD TONNELLERIE 750ML,0,,19.99,2,607,21,,7,0,1,0,0,,BRUERY QUAD TONNELLERIE 750ML 750 ML
